Title,ExternalKey,TierCode,TierLabel,Segment,RoleFit,OrganizationName,StateCode,StateName,City,County,LocaleCode,LocaleDisplay,SaipePercent,SaipeBand,Basis,ContactName,ContactTitle,Phone,Website,OutreachProgram,OutreachLink,Flags,AssignedRepText,OutreachStatus,LastContact,NextStep,Notes,SourceDataset,ActiveFlag
Abbotsford School District,2-school-district-wi-abbotsford-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Abbotsford School District,WI,Wisconsin,Abbotsford,Clark County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(715) 223-6715,http://www.abbotsford.k12.wi.us,,,,,Not Started,,,,K12 Locale43,Yes
Absarokee Elem,2-school-district-mt-absarokee-elem,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Absarokee Elem,MT,Montana,Absarokee,Stillwater County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 328-4581,http://hgunderson6.wixsite.com/absarokee-schools,,,,,Not Started,,,,K12 Locale43,Yes
Absarokee H S,2-school-district-mt-absarokee-h-s,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Absarokee H S,MT,Montana,Absarokee,Stillwater County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(406) 328-4583,http://hgunderson6.wixsite.com/absarokee-schools,,,,,Not Started,,,,K12 Locale43,Yes
Accomack County Public Schools,2-school-district-va-accomack-county-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Accomack County Public Schools,VA,Virginia,Accomac,Accomack County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(757) 787-5754,http://www.accomack.k12.va.us/,,,,,Not Started,,,,K12 Locale43,Yes
Ada-Borup-West Public Schools,2-school-district-mn-ada-borup-west-public-schools,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Ada-Borup-West Public Schools,MN,Minnesota,Ada,Norman County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(218) 784-5300,http://ada.k12.mn.us/,,,,,Not Started,,,,K12 Locale43,Yes
Adair-Casey Comm School District,2-school-district-ia-adair-casey-comm-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Adair-Casey Comm School District,IA,Iowa,Adair,Guthrie County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(641) 746-2241,http://www.acgcschools.org,,,,,Not Started,,,,K12 Locale43,Yes
Adams County Ohio Valley Local,2-school-district-oh-adams-county-ohio-valley-local,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Adams County Ohio Valley Local,OH,Ohio,West Union,Adams County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(937) 544-5586,http://www.ohiovalley.k12.oh.us/,,,,,Not Started,,,,K12 Locale43,Yes
Adams-Friendship Area School District,2-school-district-wi-adams-friendship-area-school-district,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Adams-Friendship Area School District,WI,Wisconsin,Friendship,Adams County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(608) 339-3213,http://www.afasd.net,,,,,Not Started,,,,K12 Locale43,Yes
Adel SD 21,2-school-district-or-adel-sd-21,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,Adel SD 21,OR,Oregon,Lakeview,Lake County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(541) 947-3371,http://www.lakeesd.k12.or.us,,,,,Not Started,,,,K12 Locale43,Yes
ADRIAN ISD,2-school-district-tx-adrian-isd,2,Tier 2: K-12 Rural Remote / SAIPE Unknown,School District,Spoke Candidate,ADRIAN ISD,TX,Texas,Adrian,Oldham County,43,43-Rural: Remote,,Unknown,Locale 43 and SAIPE not known,,District Contact,(806) 203-6203,http://www.adrianisd.net,,,,,Not Started,,,,K12 Locale43,Yes
