externalKey,tier_short,tier_label,tier_order,segment,role_fit,organization,region,state,state_name,city,county,city_county,locale_code,locale_display,saipe_numeric,saipe_display,basis,phone,website,outreach_program,outreach_link,students,school_count,source,detail
CAND|Alcorn State University|MS,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Alcorn State University,Southeast,MS,,Alcorn State,Claiborne County,Alcorn State / Claiborne County,43,43,33.3,33.3%,Locale 43 + SAIPE 30 pts,(601) 877-6100,https://www.alcorn.edu/,,,,,Higher Ed seed file,"{'Institution': 'Alcorn State University', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MS', 'City': 'Alcorn State', 'County': 'Claiborne County', 'ZIP': '39096-7500', 'Locale': '43', 'Poverty Percent': '33.3', 'SAIPE Points': '30', 'Basis': 'Locale 43 + SAIPE 30 pts', 'Leader': 'Dr. Tracy M. Cook', 'Leader Title': 'President', 'Phone': '(601) 877-6100', 'Website': 'https://www.alcorn.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': 'Land Grant'}"
CAND|Edge Academy of Beauty|KY,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Edge Academy of Beauty,Mid-Atlantic,KY,,Manchester,Clay County,Manchester / Clay County,43,43,33.6,33.6%,Locale 43 + SAIPE 30 pts,(606) 599-3813,https://edgeacademy.edu/,,,,,Higher Ed seed file,"{'Institution': 'Edge Academy of Beauty', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'KY', 'City': 'Manchester', 'County': 'Clay County', 'ZIP': '40962-8700', 'Locale': '43', 'Poverty Percent': '33.6', 'SAIPE Points': '30', 'Basis': 'Locale 43 + SAIPE 30 pts', 'Leader': 'Craig Napier', 'Leader Title': 'President', 'Phone': '(606) 599-3813', 'Website': 'https://edgeacademy.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Holmes Community College|MS,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Holmes Community College,Southeast,MS,,Goodman,Holmes County,Goodman / Holmes County,43,43,34.3,34.3%,Locale 43 + SAIPE 30 pts,(662) 472-2312,https://www.holmescc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Holmes Community College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'MS', 'City': 'Goodman', 'County': 'Holmes County', 'ZIP': '39079', 'Locale': '43', 'Poverty Percent': '34.3', 'SAIPE Points': '30', 'Basis': 'Locale 43 + SAIPE 30 pts', 'Leader': 'Dr. Jim Haffey', 'Leader Title': 'President', 'Phone': '(662) 472-2312', 'Website': 'https://www.holmescc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Kentucky Mountain Bible College|KY,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Kentucky Mountain Bible College,Mid-Atlantic,KY,,Jackson,Breathitt County,Jackson / Breathitt County,43,43,35.5,35.5%,Locale 43 + SAIPE 30 pts,6066935000100,https://www.kmbc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Kentucky Mountain Bible College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'KY', 'City': 'Jackson', 'County': 'Breathitt County', 'ZIP': '41339', 'Locale': '43', 'Poverty Percent': '35.5', 'SAIPE Points': '30', 'Basis': 'Locale 43 + SAIPE 30 pts', 'Leader': 'Robert Pocai', 'Leader Title': 'President', 'Phone': '6066935000100', 'Website': 'https://www.kmbc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Oglala Lakota College|SD,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Oglala Lakota College,Northeast,SD,,Kyle,Oglala Lakota County,Kyle / Oglala Lakota County,43,43,35.8,35.8%,Locale 43 + SAIPE 30 pts,(605) 455-6000,https://www.olc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Oglala Lakota College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'SD', 'City': 'Kyle', 'County': 'Oglala Lakota County', 'ZIP': '57752-0490', 'Locale': '43', 'Poverty Percent': '35.8', 'SAIPE Points': '30', 'Basis': 'Locale 43 + SAIPE 30 pts', 'Leader': 'Dawn Frank', 'Leader Title': 'President', 'Phone': '(605) 455-6000', 'Website': 'https://www.olc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': 'Land Grant'}"
CAND|Sinte Gleska University|SD,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Sinte Gleska University,Northeast,SD,,Mission,Todd County,Mission / Todd County,43,43,32.9,32.9%,Locale 43 + SAIPE 30 pts,(605) 856-8100,https://www.sintegleska.edu/,,,,,Higher Ed seed file,"{'Institution': 'Sinte Gleska University', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'SD', 'City': 'Mission', 'County': 'Todd County', 'ZIP': '57555-0105', 'Locale': '43', 'Poverty Percent': '32.9', 'SAIPE Points': '30', 'Basis': 'Locale 43 + SAIPE 30 pts', 'Leader': 'Colette Keith', 'Leader Title': 'Acting President', 'Phone': '(605) 856-8100', 'Website': 'https://www.sintegleska.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': 'Land Grant'}"
CAND|University of South Carolina-Salkehatchie|SC,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,University of South Carolina-Salkehatchie,Southeast,SC,,Allendale,Allendale County,Allendale / Allendale County,43,43,31.6,31.6%,Locale 43 + SAIPE 30 pts,(800) 922-5500,https://sc.edu/about/system_and_campuses/salkehatchie/index.php,,,,,Higher Ed seed file,"{'Institution': 'University of South Carolina-Salkehatchie', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'SC', 'City': 'Allendale', 'County': 'Allendale County', 'ZIP': '29810-0617', 'Locale': '43', 'Poverty Percent': '31.6', 'SAIPE Points': '30', 'Basis': 'Locale 43 + SAIPE 30 pts', 'Leader': 'April Cone', 'Leader Title': 'Dean', 'Phone': '(800) 922-5500', 'Website': 'https://sc.edu/about/system_and_campuses/salkehatchie/index.php', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|University of West Alabama|AL,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,University of West Alabama,Southeast,AL,,Livingston,Sumter County,Livingston / Sumter County,43,43,32.6,32.6%,Locale 43 + SAIPE 30 pts,(205) 652-3400,https://www.uwa.edu/,,,,,Higher Ed seed file,"{'Institution': 'University of West Alabama', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'AL', 'City': 'Livingston', 'County': 'Sumter County', 'ZIP': '35470', 'Locale': '43', 'Poverty Percent': '32.6', 'SAIPE Points': '30', 'Basis': 'Locale 43 + SAIPE 30 pts', 'Leader': 'Dr. Ken Tucker', 'Leader Title': 'President', 'Phone': '(205) 652-3400', 'Website': 'https://www.uwa.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Alice Lloyd College|KY,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Alice Lloyd College,Mid-Atlantic,KY,,Pippa Passes,Knott County,Pippa Passes / Knott County,43,43,25.9,25.9%,Locale 43 + SAIPE 20 pts,(606) 368-6000,https://www.alc.edu/,,,,,Higher Ed seed file,"{'Institution': 'Alice Lloyd College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'KY', 'City': 'Pippa Passes', 'County': 'Knott County', 'ZIP': '41844', 'Locale': '43', 'Poverty Percent': '25.9', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Jim Stepp', 'Leader Title': 'President', 'Phone': '(606) 368-6000', 'Website': 'https://www.alc.edu/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
CAND|Allure Beauty College|KY,Tier 3,Tier 3: HigherEd Rural Remote,3,Higher Ed,Hub Candidate,Allure Beauty College,Mid-Atlantic,KY,,Whitesburg,Letcher County,Whitesburg / Letcher County,43,43,25.3,25.3%,Locale 43 + SAIPE 20 pts,(606) 633-8784,https://www.allurebeautycollege.com/,,,,,Higher Ed seed file,"{'Institution': 'Allure Beauty College', 'Tier': 'Tier 3: HigherEd Rural Remote', 'Role Fit': 'Hub Candidate', 'State': 'KY', 'City': 'Whitesburg', 'County': 'Letcher County', 'ZIP': '41858', 'Locale': '43', 'Poverty Percent': '25.3', 'SAIPE Points': '20', 'Basis': 'Locale 43 + SAIPE 20 pts', 'Leader': 'Kimberly Howard', 'Leader Title': 'President', 'Phone': '(606) 633-8784', 'Website': 'https://www.allurebeautycollege.com/', 'Outreach Program': '', 'Outreach Link': '', 'Outreach Contact': '', 'Outreach Email': '', 'Outreach Phone': '', 'Evidence URL': '', 'Flags': ''}"
