externalKey,tier_short,tier_label,basis,saipe_numeric,saipe_percent,locale_code
WI|abbotsford-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
MT|absarokee-elem,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
MT|absarokee-h-s,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
VA|accomack-county-public-schools,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
MN|ada-borup-west-public-schools,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
IA|adair-casey-comm-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
OH|adams-county-ohio-valley-local,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
WI|adams-friendship-area-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
OR|adel-sd-21,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
TX|adrian-isd,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
MN|adrian-public-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
MO|adrian-r-iii,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
SD|agar-blunt-onida-school-district-58-3,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
CO|agate-school-district-no-300,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
CA|agnes-j-johnson-charter-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
AZ|aguila-elementary-district-4249,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
CO|aguilar-reorganized-school-district-no-6,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
IA|ahstw-comm-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
NE|ainsworth-community-schools,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
MN|aitkin-public-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
AZ|ajo-unified-district-4409,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
CO|akron-school-district-no-r-1,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
AK|alaska-gateway-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
MI|alba-public-schools,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
TX|albany-isd,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
MO|albany-r-iii,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
IA|albert-city-truesdale-comm-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
IA|albia-comm-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
OK|albion,Tier 1,"Tier 1: K-12 Rural Remote, >30% SAIPE",Locale 43 and SAIPE ≥ 30%,38.8,38.8%,43
VT|alburgh-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
SD|alcester-hudson-school-district-61-1,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
MT|alder-elem,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
AK|aleutian-region-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
AK|aleutians-east-borough-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
ND|alexander-2,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
ME|alexander-public-schools,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
OK|aline-cleo,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
IA|allamakee-comm-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
NC|alleghany-county-schools,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
PA|allegheny-clarion-valley-sd,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
OK|allen,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
SC|allendale-01,Tier 1,"Tier 1: K-12 Rural Remote, >30% SAIPE",Locale 43 and SAIPE ≥ 30%,43.5,43.5%,43
NE|alma-public-schools,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
WI|alma-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
WA|almira-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
WI|almond-bancroft-school-district,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
AZ|alpine-elementary-district-4161,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
MI|alternative-educational-academy-of-ogemaw-county,Tier 2,Tier 2: K-12 Rural Remote / SAIPE Unknown,Locale 43 and SAIPE not known,,,43
