State,Region,Buying Contract Status,Buying Contract Name,Follow-Up Date,Assigned To,Cybersecurity Committee Member,Date Joined,Registered Vendor,Date Registered,Registered for Updates Email,Updates Email Address,Notes,Last Updated
Alabama,Southeast,No,,,,FALSE,,FALSE,,FALSE,,,
Alaska,West,No,,,,FALSE,,FALSE,,FALSE,,,
Arizona,West,No,,,,FALSE,,FALSE,,FALSE,,,
Arkansas,Southeast,No,,,,FALSE,,FALSE,,FALSE,,,
California,West,No,,,,FALSE,,FALSE,,FALSE,,,
Colorado,West,No,,,,FALSE,,FALSE,,FALSE,,,
Connecticut,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Delaware,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Florida,Southeast,No,,,,FALSE,,FALSE,,FALSE,,,
Georgia,Southeast,No,,,,FALSE,,FALSE,,FALSE,,,
Hawaii,West,No,,,,FALSE,,FALSE,,FALSE,,,
Idaho,West,No,,,,FALSE,,FALSE,,FALSE,,,
Illinois,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Indiana,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Iowa,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Kansas,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Kentucky,Mid-Atlantic,No,,,,FALSE,,FALSE,,FALSE,,,
Louisiana,Southeast,No,,,,FALSE,,FALSE,,FALSE,,,
Maine,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Maryland,Mid-Atlantic,No,,,,FALSE,,FALSE,,FALSE,,,
Massachusetts,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Michigan,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Minnesota,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Mississippi,Southeast,No,,,,FALSE,,FALSE,,FALSE,,,
Missouri,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Montana,West,No,,,,FALSE,,FALSE,,FALSE,,,
Nebraska,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Nevada,West,No,,,,FALSE,,FALSE,,FALSE,,,
New Hampshire,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
New Jersey,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
New Mexico,West,No,,,,FALSE,,FALSE,,FALSE,,,
New York,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
North Carolina,Southeast,No,,,,FALSE,,FALSE,,FALSE,,,
North Dakota,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Ohio,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Oklahoma,West,No,,,,FALSE,,FALSE,,FALSE,,,
Oregon,West,No,,,,FALSE,,FALSE,,FALSE,,,
Pennsylvania,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Rhode Island,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
South Carolina,Southeast,No,,,,FALSE,,FALSE,,FALSE,,,
South Dakota,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Tennessee,Mid-Atlantic,No,,,,FALSE,,FALSE,,FALSE,,,
Texas,West,No,,,,FALSE,,FALSE,,FALSE,,,
Utah,West,No,,,,FALSE,,FALSE,,FALSE,,,
Vermont,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Virginia,Mid-Atlantic,No,,,,FALSE,,FALSE,,FALSE,,,
Washington,West,No,,,,FALSE,,FALSE,,FALSE,,,
West Virginia,Mid-Atlantic,No,,,,FALSE,,FALSE,,FALSE,,,
Wisconsin,Northeast,No,,,,FALSE,,FALSE,,FALSE,,,
Wyoming,West,No,,,,FALSE,,FALSE,,FALSE,,,
